tree.id,tree.threshold,tree.ripeness,tree.latitude,tree.longitude,date_time,value,value_help_1
1,183,0,33.76743,-84.38093,01/01/00,36,3
1,183,0,33.76743,-84.38093,01/02/00,46,4
1,183,0,33.76743,-84.38093,01/03/00,56,5
1,183,0,33.76743,-84.38093,01/04/00,64,6
1,183,0,33.76743,-84.38093,01/05/00,72,7
1,183,0,33.76743,-84.38093,01/06/00,80,8
1,183,0,33.76743,-84.38093,01/07/00,87,9
1,183,0,33.76743,-84.38093,01/08/00,93,10
1,183,0,33.76743,-84.38093,01/09/00,99,11
1,183,0,33.76743,-84.38093,01/10/00,105,12
1,183,0,33.76743,-84.38093,01/11/00,110,13
1,183,0,33.76743,-84.38093,01/12/00,115,14
1,183,0,33.76743,-84.38093,01/13/00,120,15
1,183,0,33.76743,-84.38093,01/14/00,124,16
1,183,0,33.76743,-84.38093,01/15/00,128,17
1,183,0,33.76743,-84.38093,01/16/00,132,18
1,183,0,33.76743,-84.38093,01/17/00,136,19
1,183,0,33.76743,-84.38093,01/18/00,140,20
1,183,0,33.76743,-84.38093,01/19/00,143,21
1,183,0,33.76743,-84.38093,01/20/00,146,22
1,183,0,33.76743,-84.38093,01/21/00,150,23
1,183,0,33.76743,-84.38093,01/22/00,153,24
1,183,0,33.76743,-84.38093,01/23/00,155,25
1,183,0,33.76743,-84.38093,01/24/00,158,26
1,183,0,33.76743,-84.38093,01/25/00,161,27
1,183,0,33.76743,-84.38093,01/26/00,163,28
1,183,0,33.76743,-84.38093,01/27/00,166,29
1,183,0,33.76743,-84.38093,01/28/00,168,30
1,183,0,33.76743,-84.38093,01/29/00,170,31
1,183,0,33.76743,-84.38093,01/30/00,172,32
1,183,0,33.76743,-84.38093,01/31/00,174,33
1,183,0,33.76743,-84.38093,02/01/00,176,34
1,183,0,33.76743,-84.38093,02/02/00,178,35
1,183,0,33.76743,-84.38093,02/03/00,180,36
1,183,0,33.76743,-84.38093,02/04/00,182,37
1,183,1,33.76743,-84.38093,02/05/00,183,38
1,183,1,33.76743,-84.38093,02/06/00,185,39
1,183,1,33.76743,-84.38093,02/07/00,187,40
1,183,1,33.76743,-84.38093,02/08/00,188,41
1,183,1,33.76743,-84.38093,02/09/00,190,42
1,183,1,33.76743,-84.38093,02/10/00,191,43
1,183,1,33.76743,-84.38093,02/11/00,192,44
1,183,1,33.76743,-84.38093,02/12/00,194,45
1,183,1,33.76743,-84.38093,02/13/00,195,46
1,183,1,33.76743,-84.38093,02/14/00,196,47
1,183,1,33.76743,-84.38093,02/15/00,198,48
1,183,1,33.76743,-84.38093,02/16/00,199,49
1,183,1,33.76743,-84.38093,02/17/00,200,50
1,183,1,33.76743,-84.38093,02/18/00,201,51
1,183,1,33.76743,-84.38093,02/19/00,202,52
1,183,1,33.76743,-84.38093,02/20/00,203,53
1,183,1,33.76743,-84.38093,02/21/00,204,54
1,183,1,33.76743,-84.38093,02/22/00,205,55
1,183,1,33.76743,-84.38093,02/23/00,206,56
1,183,1,33.76743,-84.38093,02/24/00,207,57
1,183,1,33.76743,-84.38093,02/25/00,208,58
1,183,1,33.76743,-84.38093,02/26/00,209,59
1,183,1,33.76743,-84.38093,02/27/00,210,60
1,183,1,33.76743,-84.38093,02/28/00,211,61
1,183,1,33.76743,-84.38093,02/29/00,212,62
1,183,1,33.76743,-84.38093,03/01/00,212,63
1,183,1,33.76743,-84.38093,03/02/00,213,64
1,183,1,33.76743,-84.38093,03/03/00,214,65
1,183,1,33.76743,-84.38093,03/04/00,215,66
1,183,1,33.76743,-84.38093,03/05/00,216,67
1,183,1,33.76743,-84.38093,03/06/00,216,68
1,183,1,33.76743,-84.38093,03/07/00,217,69
1,183,1,33.76743,-84.38093,03/08/00,218,70
1,183,1,33.76743,-84.38093,03/09/00,218,71
1,183,1,33.76743,-84.38093,03/10/00,219,72
1,183,1,33.76743,-84.38093,03/11/00,220,73
1,183,1,33.76743,-84.38093,03/12/00,220,74
1,183,1,33.76743,-84.38093,03/13/00,221,75
1,183,1,33.76743,-84.38093,03/14/00,222,76
1,183,1,33.76743,-84.38093,03/15/00,222,77
1,183,1,33.76743,-84.38093,03/16/00,223,78
1,183,1,33.76743,-84.38093,03/17/00,223,79
1,183,1,33.76743,-84.38093,03/18/00,224,80
1,183,1,33.76743,-84.38093,03/19/00,224,81
1,183,1,33.76743,-84.38093,03/20/00,225,82
1,183,1,33.76743,-84.38093,03/21/00,226,83
1,183,1,33.76743,-84.38093,03/22/00,226,84
1,183,1,33.76743,-84.38093,03/23/00,227,85
1,183,1,33.76743,-84.38093,03/24/00,227,86
1,183,1,33.76743,-84.38093,03/25/00,228,87
1,183,1,33.76743,-84.38093,03/26/00,228,88
1,183,1,33.76743,-84.38093,03/27/00,229,89
1,183,1,33.76743,-84.38093,03/28/00,229,90
1,183,1,33.76743,-84.38093,03/29/00,229,91
1,183,1,33.76743,-84.38093,03/30/00,230,92
1,183,1,33.76743,-84.38093,03/31/00,230,93
1,183,1,33.76743,-84.38093,04/01/00,231,94
1,183,1,33.76743,-84.38093,04/02/00,231,95
1,183,1,33.76743,-84.38093,04/03/00,232,96
1,183,1,33.76743,-84.38093,04/04/00,232,97
1,183,1,33.76743,-84.38093,04/05/00,232,98
1,183,1,33.76743,-84.38093,04/06/00,233,99
1,183,1,33.76743,-84.38093,04/07/00,233,100
1,183,1,33.76743,-84.38093,04/08/00,234,101
1,183,1,33.76743,-84.38093,04/09/00,234,102
2,207,0,33.87287,-84.39618,01/01/00,56,5
2,207,0,33.87287,-84.39618,01/02/00,64,6
2,207,0,33.87287,-84.39618,01/03/00,72,7
2,207,0,33.87287,-84.39618,01/04/00,80,8
2,207,0,33.87287,-84.39618,01/05/00,87,9
2,207,0,33.87287,-84.39618,01/06/00,93,10
2,207,0,33.87287,-84.39618,01/07/00,99,11
2,207,0,33.87287,-84.39618,01/08/00,105,12
2,207,0,33.87287,-84.39618,01/09/00,110,13
2,207,0,33.87287,-84.39618,01/10/00,115,14
2,207,0,33.87287,-84.39618,01/11/00,120,15
2,207,0,33.87287,-84.39618,01/12/00,124,16
2,207,0,33.87287,-84.39618,01/13/00,128,17
2,207,0,33.87287,-84.39618,01/14/00,132,18
2,207,0,33.87287,-84.39618,01/15/00,136,19
2,207,0,33.87287,-84.39618,01/16/00,140,20
2,207,0,33.87287,-84.39618,01/17/00,143,21
2,207,0,33.87287,-84.39618,01/18/00,146,22
2,207,0,33.87287,-84.39618,01/19/00,150,23
2,207,0,33.87287,-84.39618,01/20/00,153,24
2,207,0,33.87287,-84.39618,01/21/00,155,25
2,207,0,33.87287,-84.39618,01/22/00,158,26
2,207,0,33.87287,-84.39618,01/23/00,161,27
2,207,0,33.87287,-84.39618,01/24/00,163,28
2,207,0,33.87287,-84.39618,01/25/00,166,29
2,207,0,33.87287,-84.39618,01/26/00,168,30
2,207,0,33.87287,-84.39618,01/27/00,170,31
2,207,0,33.87287,-84.39618,01/28/00,172,32
2,207,0,33.87287,-84.39618,01/29/00,174,33
2,207,0,33.87287,-84.39618,01/30/00,176,34
2,207,0,33.87287,-84.39618,01/31/00,178,35
2,207,0,33.87287,-84.39618,02/01/00,180,36
2,207,0,33.87287,-84.39618,02/02/00,182,37
2,207,0,33.87287,-84.39618,02/03/00,183,38
2,207,0,33.87287,-84.39618,02/04/00,185,39
2,207,0,33.87287,-84.39618,02/05/00,187,40
2,207,0,33.87287,-84.39618,02/06/00,188,41
2,207,0,33.87287,-84.39618,02/07/00,190,42
2,207,0,33.87287,-84.39618,02/08/00,191,43
2,207,0,33.87287,-84.39618,02/09/00,192,44
2,207,0,33.87287,-84.39618,02/10/00,194,45
2,207,0,33.87287,-84.39618,02/11/00,195,46
2,207,0,33.87287,-84.39618,02/12/00,196,47
2,207,0,33.87287,-84.39618,02/13/00,198,48
2,207,0,33.87287,-84.39618,02/14/00,199,49
2,207,0,33.87287,-84.39618,02/15/00,200,50
2,207,0,33.87287,-84.39618,02/16/00,201,51
2,207,0,33.87287,-84.39618,02/17/00,202,52
2,207,0,33.87287,-84.39618,02/18/00,203,53
2,207,0,33.87287,-84.39618,02/19/00,204,54
2,207,0,33.87287,-84.39618,02/20/00,205,55
2,207,0,33.87287,-84.39618,02/21/00,206,56
2,207,1,33.87287,-84.39618,02/22/00,207,57
2,207,1,33.87287,-84.39618,02/23/00,208,58
2,207,1,33.87287,-84.39618,02/24/00,209,59
2,207,1,33.87287,-84.39618,02/25/00,210,60
2,207,1,33.87287,-84.39618,02/26/00,211,61
2,207,1,33.87287,-84.39618,02/27/00,212,62
2,207,1,33.87287,-84.39618,02/28/00,212,63
2,207,1,33.87287,-84.39618,02/29/00,213,64
2,207,1,33.87287,-84.39618,03/01/00,214,65
2,207,1,33.87287,-84.39618,03/02/00,215,66
2,207,1,33.87287,-84.39618,03/03/00,216,67
2,207,1,33.87287,-84.39618,03/04/00,216,68
2,207,1,33.87287,-84.39618,03/05/00,217,69
2,207,1,33.87287,-84.39618,03/06/00,218,70
2,207,1,33.87287,-84.39618,03/07/00,218,71
2,207,1,33.87287,-84.39618,03/08/00,219,72
2,207,1,33.87287,-84.39618,03/09/00,220,73
2,207,1,33.87287,-84.39618,03/10/00,220,74
2,207,1,33.87287,-84.39618,03/11/00,221,75
2,207,1,33.87287,-84.39618,03/12/00,222,76
2,207,1,33.87287,-84.39618,03/13/00,222,77
2,207,1,33.87287,-84.39618,03/14/00,223,78
2,207,1,33.87287,-84.39618,03/15/00,223,79
2,207,1,33.87287,-84.39618,03/16/00,224,80
2,207,1,33.87287,-84.39618,03/17/00,224,81
2,207,1,33.87287,-84.39618,03/18/00,225,82
2,207,1,33.87287,-84.39618,03/19/00,226,83
2,207,1,33.87287,-84.39618,03/20/00,226,84
2,207,1,33.87287,-84.39618,03/21/00,227,85
2,207,1,33.87287,-84.39618,03/22/00,227,86
2,207,1,33.87287,-84.39618,03/23/00,228,87
2,207,1,33.87287,-84.39618,03/24/00,228,88
2,207,1,33.87287,-84.39618,03/25/00,229,89
2,207,1,33.87287,-84.39618,03/26/00,229,90
2,207,1,33.87287,-84.39618,03/27/00,229,91
2,207,1,33.87287,-84.39618,03/28/00,230,92
2,207,1,33.87287,-84.39618,03/29/00,230,93
2,207,1,33.87287,-84.39618,03/30/00,231,94
2,207,1,33.87287,-84.39618,03/31/00,231,95
2,207,1,33.87287,-84.39618,04/01/00,232,96
2,207,1,33.87287,-84.39618,04/02/00,232,97
2,207,1,33.87287,-84.39618,04/03/00,232,98
2,207,1,33.87287,-84.39618,04/04/00,233,99
2,207,1,33.87287,-84.39618,04/05/00,233,100
2,207,1,33.87287,-84.39618,04/06/00,234,101
2,207,1,33.87287,-84.39618,04/07/00,234,102
2,207,1,33.87287,-84.39618,04/08/00,234,103
2,207,1,33.87287,-84.39618,04/09/00,235,104
3,190,0,33.89643,-84.25087,01/01/00,46,4
3,190,0,33.89643,-84.25087,01/02/00,56,5
3,190,0,33.89643,-84.25087,01/03/00,64,6
3,190,0,33.89643,-84.25087,01/04/00,72,7
3,190,0,33.89643,-84.25087,01/05/00,80,8
3,190,0,33.89643,-84.25087,01/06/00,87,9
3,190,0,33.89643,-84.25087,01/07/00,93,10
3,190,0,33.89643,-84.25087,01/08/00,99,11
3,190,0,33.89643,-84.25087,01/09/00,105,12
3,190,0,33.89643,-84.25087,01/10/00,110,13
3,190,0,33.89643,-84.25087,01/11/00,115,14
3,190,0,33.89643,-84.25087,01/12/00,120,15
3,190,0,33.89643,-84.25087,01/13/00,124,16
3,190,0,33.89643,-84.25087,01/14/00,128,17
3,190,0,33.89643,-84.25087,01/15/00,132,18
3,190,0,33.89643,-84.25087,01/16/00,136,19
3,190,0,33.89643,-84.25087,01/17/00,140,20
3,190,0,33.89643,-84.25087,01/18/00,143,21
3,190,0,33.89643,-84.25087,01/19/00,146,22
3,190,0,33.89643,-84.25087,01/20/00,150,23
3,190,0,33.89643,-84.25087,01/21/00,153,24
3,190,0,33.89643,-84.25087,01/22/00,155,25
3,190,0,33.89643,-84.25087,01/23/00,158,26
3,190,0,33.89643,-84.25087,01/24/00,161,27
3,190,0,33.89643,-84.25087,01/25/00,163,28
3,190,0,33.89643,-84.25087,01/26/00,166,29
3,190,0,33.89643,-84.25087,01/27/00,168,30
3,190,0,33.89643,-84.25087,01/28/00,170,31
3,190,0,33.89643,-84.25087,01/29/00,172,32
3,190,0,33.89643,-84.25087,01/30/00,174,33
3,190,0,33.89643,-84.25087,01/31/00,176,34
3,190,0,33.89643,-84.25087,02/01/00,178,35
3,190,0,33.89643,-84.25087,02/02/00,180,36
3,190,0,33.89643,-84.25087,02/03/00,182,37
3,190,0,33.89643,-84.25087,02/04/00,183,38
3,190,0,33.89643,-84.25087,02/05/00,185,39
3,190,0,33.89643,-84.25087,02/06/00,187,40
3,190,0,33.89643,-84.25087,02/07/00,188,41
3,190,1,33.89643,-84.25087,02/08/00,190,42
3,190,1,33.89643,-84.25087,02/09/00,191,43
3,190,1,33.89643,-84.25087,02/10/00,192,44
3,190,1,33.89643,-84.25087,02/11/00,194,45
3,190,1,33.89643,-84.25087,02/12/00,195,46
3,190,1,33.89643,-84.25087,02/13/00,196,47
3,190,1,33.89643,-84.25087,02/14/00,198,48
3,190,1,33.89643,-84.25087,02/15/00,199,49
3,190,1,33.89643,-84.25087,02/16/00,200,50
3,190,1,33.89643,-84.25087,02/17/00,201,51
3,190,1,33.89643,-84.25087,02/18/00,202,52
3,190,1,33.89643,-84.25087,02/19/00,203,53
3,190,1,33.89643,-84.25087,02/20/00,204,54
3,190,1,33.89643,-84.25087,02/21/00,205,55
3,190,1,33.89643,-84.25087,02/22/00,206,56
3,190,1,33.89643,-84.25087,02/23/00,207,57
3,190,1,33.89643,-84.25087,02/24/00,208,58
3,190,1,33.89643,-84.25087,02/25/00,209,59
3,190,1,33.89643,-84.25087,02/26/00,210,60
3,190,1,33.89643,-84.25087,02/27/00,211,61
3,190,1,33.89643,-84.25087,02/28/00,212,62
3,190,1,33.89643,-84.25087,02/29/00,212,63
3,190,1,33.89643,-84.25087,03/01/00,213,64
3,190,1,33.89643,-84.25087,03/02/00,214,65
3,190,1,33.89643,-84.25087,03/03/00,215,66
3,190,1,33.89643,-84.25087,03/04/00,216,67
3,190,1,33.89643,-84.25087,03/05/00,216,68
3,190,1,33.89643,-84.25087,03/06/00,217,69
3,190,1,33.89643,-84.25087,03/07/00,218,70
3,190,1,33.89643,-84.25087,03/08/00,218,71
3,190,1,33.89643,-84.25087,03/09/00,219,72
3,190,1,33.89643,-84.25087,03/10/00,220,73
3,190,1,33.89643,-84.25087,03/11/00,220,74
3,190,1,33.89643,-84.25087,03/12/00,221,75
3,190,1,33.89643,-84.25087,03/13/00,222,76
3,190,1,33.89643,-84.25087,03/14/00,222,77
